trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-113.27322449901676,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-187.41162121975498,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-118.44618579018814,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-63.418562886650534,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-104.88245528309446,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-216.2504245893858,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-163.79404997982238,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",35,0,-126.07383899919448,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-113.2100502520534,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,1,-58.41832726527383,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-60.68028279370377,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-116.36933561543829,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-185.52446102968548,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-85.13493500306099,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-148.96238784134653,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,5,-247.40542515233625,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 6}",1
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-41.50793197214268,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-127.48549080354678,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,14,3.819964182593418,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-115.8800658622484,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-72.66158998538295,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,12,-16.411194954505067,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-166.33910324851675,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-83.36568952970188,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,17.810455558543072,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-75.86995815873571,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-138.6925704139556,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-35.68138874456095,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",30,5,-164.41844839982886,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",1
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-70.79901060566942,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,12,12.182728836847756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-59.402299133987995,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-93.67225962860931,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,13,11.962797359882352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-131.92063547655866,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-104.3509469752345,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-39.54661794627807,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,9,-8.654158029071596,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-43.2098052199089,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,8,-13.954946400667417,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,1.3932547201690513,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-127.86067330260404,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,3,-19.569824719898815,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,12,-10.782911692753375,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-89.6192089645247,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-151.76765214778538,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,1,-65.70955302595009,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,0,-29.671409877408333,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,5,-49.00853681683769,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,8,-44.13431407694041,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-6.618201103981931,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,16,-19.36088029110476,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
