trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.68297275195716,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.410391643827374,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.95018009337312,"{0: 15, 1: 5, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.87836562674266,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.98704838786378,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.3516451950479,"{0: 19, 1: 1, 2: 4, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.49301948106196,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.84338458418732,"{0: 11, 1: 4, 2: 0, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.42440439330906,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.43810149270114,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.35130699760143,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.78381230363303,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.85641397756909,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.24957955032563,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.93553114190254,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.17630763381936,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-112.6628506708722,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.77003057955402,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.83383953640057,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.59517050133297,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-329.4750341935563,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.48703313670327,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,4,-37.124172571108346,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.70476294362012,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.826057878143164,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.822769658296,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-39.46549771857541,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,10,10.753460782680627,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.51611288919561,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.82898413554864,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
